group,value
A,103.0
A,89.6
A,107.5
A,109.4
A,80.5
A,87.0
A,101.3
A,96.8
A,99.8
A,91.5
A,108.8
A,107.8
A,100.7
A,111.3
A,104.7
A,91.4
A,103.7
A,90.4
A,108.8
A,99.5
A,98.2
A,93.2
A,112.2
A,98.5
A,95.7
A,96.5
A,105.3
A,103.7
A,104.1
A,104.3
A,121.4
A,95.9
B,102.9
B,99.9
B,114.2
B,119.3
B,106.9
B,99.6
B,99.8
B,114.5
B,115.4
B,113.4
B,101.3
B,110.3
B,109.2
B,110.2
B,116.7
B,110.2
B,114.8
B,108.7
B,110.9
B,114.3
B,93.4
B,104.8
B,103.3
B,101.6
B,105.2
B,122.9
B,99.3
B,117.7
B,91.2
B,104.7
B,109.6
B,113.9
